timestamp,n_experts,top_k,batch_size,num_workers,num_epochs,learning_rate,device,train_dataset,valid_dataset,test_dataset,final_train_loss,final_train_acc,final_val_loss,final_val_acc,test_loss,test_acc
2026-01-06T17:46:43.471838,10,2,64,1,10,0.001,cuda,PUC,PUC,UFPR05,6.620978820126577e-05,100.0,0.00012424455781,100.0,4.108970013831691,67.63436846819947
2026-01-06T17:58:09.974144,10,2,64,1,10,0.001,cuda,PUC,PUC,PUC,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,1.2309436623039025,88.00992091022617
2026-01-06T17:59:17.223551,10,2,64,1,10,0.001,cuda,PUC,PUC,UFPR05,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,4.657139203387284,58.85562854583458
2026-01-06T17:59:21.113293,10,2,64,1,10,0.001,cuda,PUC,PUC,camera1,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,7.515323814279155,59.62014863748968
2026-01-06T17:59:21.712536,10,2,64,1,10,0.001,cuda,PUC,PUC,camera2,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,8.983994053942817,69.84126984126983
2026-01-06T17:59:23.866381,10,2,64,1,10,0.001,cuda,PUC,PUC,camera3,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,8.070023873273064,69.52380952380952
2026-01-06T17:59:27.710783,10,2,64,1,10,0.001,cuda,PUC,PUC,camera4,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,7.155349701939531,77.92532416809874
2026-01-06T17:59:33.428539,10,2,64,1,10,0.001,cuda,PUC,PUC,camera5,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,9.752144715451358,73.75933245498463
2026-01-06T17:59:39.110243,10,2,64,1,10,0.001,cuda,PUC,PUC,camera6,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,9.311171651766308,74.21550530687587
2026-01-06T17:59:44.592540,10,2,64,1,10,0.001,cuda,PUC,PUC,camera7,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,6.694418560634268,67.46894409937889
2026-01-06T17:59:50.937986,10,2,64,1,10,0.001,cuda,PUC,PUC,camera8,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,7.785736981733345,75.25077160493827
2026-01-06T17:59:54.194770,10,2,64,1,10,0.001,cuda,PUC,PUC,camera9,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,6.320336252068862,73.5553772070626
2026-01-06T18:04:38.377449,10,2,64,1,10,0.001,cuda,PUC,PUC,PKLot,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,2.268310520268094,80.46115990736557
2026-01-06T18:05:08.704997,10,2,64,1,10,0.001,cuda,PUC,PUC,CNR,3.2709212973713875e-05,100.0,0.0987234208658947,98.4375,7.967517712098711,71.80993241057595
2026-01-06T18:13:51.826586,10,2,1024,1,10,0.001,cuda,PUC,PUC,PUC,7.299200640437099e-08,100.0,5.3550785195088935e-08,100.0,0.4754155577022239,97.48132602562325
2026-01-06T18:14:59.021344,10,2,1024,1,10,0.001,cuda,PUC,PUC,UFPR05,7.299200640437099e-08,100.0,5.3550785195088935e-08,100.0,12.08496177336724,67.88220364287847
2026-01-06T18:15:02.362947,10,2,1024,1,10,0.001,cuda,PUC,PUC,camera1,7.299200640437099e-08,100.0,5.3550785195088935e-08,100.0,7.219054607968581,71.1643270024773
2026-01-06T18:15:02.897548,10,2,1024,1,10,0.001,cuda,PUC,PUC,camera2,7.299200640437099e-08,100.0,5.3550785195088935e-08,100.0,16.278455632073538,72.67573696145125
2026-01-06T18:15:04.703178,10,2,1024,1,10,0.001,cuda,PUC,PUC,camera3,7.299200640437099e-08,100.0,5.3550785195088935e-08,100.0,11.776620771370682,70.84485407066052
